SET
    dbms    | table_catalog | table_schema |     table_name     |     column_name     | ordinal_position |          data_type          | character_maximum_length | constraint_type | table_schema | table_name  | column_name 
------------+---------------+--------------+--------------------+---------------------+------------------+-----------------------------+--------------------------+-----------------+--------------+-------------+-------------
 postgresql | dev           | public       | _prisma_migrations | id                  |                1 | character varying           |                       36 | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | credentials        | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | consumers          | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | admins             | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | operator_personnel | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | operators          | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | trips              | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | seats              | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | bookings           | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | transactions       | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | payout_requests    | id                  |                1 | text                        |                          | PRIMARY KEY     |              |             | 
 postgresql | dev           | public       | consumers          | credentialId        |                6 | text                        |                          | FOREIGN KEY     | public       | credentials | id
 postgresql | dev           | public       | admins             | credentialId        |                2 | text                        |                          | FOREIGN KEY     | public       | credentials | id
 postgresql | dev           | public       | operator_personnel | credentialId        |                2 | text                        |                          | FOREIGN KEY     | public       | credentials | id
 postgresql | dev           | public       | operator_personnel | operatorId          |                3 | text                        |                          | FOREIGN KEY     | public       | operators   | id
 postgresql | dev           | public       | trips              | operatorId          |               13 | text                        |                          | FOREIGN KEY     | public       | operators   | id
 postgresql | dev           | public       | seats              | tripId              |                7 | text                        |                          | FOREIGN KEY     | public       | trips       | id
 postgresql | dev           | public       | seats              | bookingId           |                8 | text                        |                          | FOREIGN KEY     | public       | bookings    | id
 postgresql | dev           | public       | bookings           | consumerId          |                4 | text                        |                          | FOREIGN KEY     | public       | consumers   | id
 postgresql | dev           | public       | transactions       | operatorId          |                4 | text                        |                          | FOREIGN KEY     | public       | operators   | id
 postgresql | dev           | public       | transactions       | bookingId           |                5 | text                        |                          | FOREIGN KEY     | public       | bookings    | id
 postgresql | dev           | public       | payout_requests    | operatorId          |                4 | text                        |                          | FOREIGN KEY     | public       | operators   | id
 postgresql | dev           | public       | trips              | additional          |               11 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | operators          | logo                |                4 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | bookings           | createdAt           |                3 | timestamp without time zone |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | distance            |                6 | double precision            |                          |                 |              |             | 
 postgresql | dev           | public       | credentials        | uname               |                2 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | payout_requests    | createdAt           |                3 | timestamp without time zone |                          |                 |              |             | 
 postgresql | dev           | public       | transactions       | amount              |                2 | money                       |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | arrivalLocation     |                4 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | _prisma_migrations | started_at          |                7 | timestamp with time zone    |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | intermediateStops   |                5 | ARRAY                       |                          |                 |              |             | 
 postgresql | dev           | public       | _prisma_migrations | finished_at         |                3 | timestamp with time zone    |                          |                 |              |             | 
 postgresql | dev           | public       | consumers          | name                |                2 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | seats              | status              |                6 | USER-DEFINED                |                          |                 |              |             | 
 postgresql | dev           | public       | operators          | supportContacts     |                6 | ARRAY                       |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | amenities           |               10 | ARRAY                       |                          |                 |              |             | 
 postgresql | dev           | public       | seats              | number              |                2 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | consumers          | phone               |                5 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | seats              | additional          |                5 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | _prisma_migrations | checksum            |                2 | character varying           |                       64 |                 |              |             | 
 postgresql | dev           | public       | bookings           | isCanceled          |                2 | boolean                     |                          |                 |              |             | 
 postgresql | dev           | public       | consumers          | dob                 |                3 | date                        |                          |                 |              |             | 
 postgresql | dev           | public       | seats              | location            |                3 | ARRAY                       |                          |                 |              |             | 
 postgresql | dev           | public       | consumers          | gender              |                4 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | status              |               12 | USER-DEFINED                |                          |                 |              |             | 
 postgresql | dev           | public       | credentials        | userType            |                5 | USER-DEFINED                |                          |                 |              |             | 
 postgresql | dev           | public       | transactions       | createdAt           |                3 | timestamp without time zone |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | departureLocation   |                3 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | price               |                9 | money                       |                          |                 |              |             | 
 postgresql | dev           | public       | operators          | name                |                2 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | arrivalTime         |                8 | timestamp without time zone |                          |                 |              |             | 
 postgresql | dev           | public       | credentials        | email               |                3 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | credentials        | passwd              |                4 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | operators          | registrationEmail   |                3 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | _prisma_migrations | logs                |                5 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | payout_requests    | amount              |                2 | money                       |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | departureTime       |                7 | timestamp without time zone |                          |                 |              |             | 
 postgresql | dev           | public       | operators          | background          |                5 | text                        |                          |                 |              |             | 
 postgresql | dev           | public       | _prisma_migrations | migration_name      |                4 | character varying           |                      255 |                 |              |             | 
 postgresql | dev           | public       | seats              | features            |                4 | ARRAY                       |                          |                 |              |             | 
 postgresql | dev           | public       | _prisma_migrations | rolled_back_at      |                6 | timestamp with time zone    |                          |                 |              |             | 
 postgresql | dev           | public       | _prisma_migrations | applied_steps_count |                8 | integer                     |                          |                 |              |             | 
 postgresql | dev           | public       | trips              | name                |                2 | text                        |                          |                 |              |             | 
(64 rows)

